(v("/V_in+" ?result "tran") - v("/V_in-" ?result "tran")) X,(v("/V_in+" ?result "tran") - v("/V_in-" ?result "tran")) Y
0,-0.3499999999562505
2e-06,-0.3499999999562505
2.001078884374198e-06,-0.3499999999562505
2.001878891877638e-06,-0.3499999999562504
2.00347890688452e-06,-0.3499999999562504
2.005488553449934e-06,-0.3499999999562503
2.009507846580762e-06,-0.3499999999562504
2.017546432842419e-06,-0.3499999999562505
2.033623605365732e-06,-0.3499999999562505
2.052004250229127e-06,-0.3499999999562505
2.0663583842317e-06,-0.3499999999562504
2.077438104317225e-06,-0.3499999999562504
2.086699262649756e-06,-0.3499999999562504
2.094980965519357e-06,-0.3499999999562504
2.102794265584472e-06,-0.3499999999562504
2.110455782307489e-06,-0.3499999999562504
2.118185698979386e-06,-0.3499999999562504
2.126185990366291e-06,-0.3499999999562505
2.134689500162307e-06,-0.3499999999562505
2.144004946051953e-06,-0.3499999999562505
2.154591620191866e-06,-0.3499999999562505
2.16721195802409e-06,-0.3499999999562505
2.183235343381454e-06,-0.3499999999562505
2.204652654842975e-06,-0.3499999999562505
2.229083539802819e-06,-0.3499999999562505
2.249679793863731e-06,-0.3499999999562505
2.266355170338861e-06,-0.3499999999562504
2.281037733373452e-06,-0.3499999999562505
2.294648016954094e-06,-0.3499999999562505
2.307401902740879e-06,-0.3499999999562505
2.319322214174343e-06,-0.3499999999562504
2.330399378408675e-06,-0.3499999999562504
2.34061209173188e-06,-0.3499999999562505
2.349935805660213e-06,-0.3499999999562505
2.358350135507237e-06,-0.3499999999562504
2.365841721436774e-06,-0.3499999999562504
2.372405122125516e-06,-0.3499999999562505
2.378044708528668e-06,-0.3499999999562504
2.382780150738755e-06,-0.3499999999562503
2.386657563700907e-06,-0.3499999999562505
2.389762522947802e-06,-0.3499999999562504
2.392215789038273e-06,-0.3499999999562505
2.394183561396765e-06,-0.3499999999562503
2.395794998012441e-06,-0.3499999999562505
2.39717216460745e-06,-0.3499999999562504
2.398408718643899e-06,-0.3499999999562504
2.399580851319378e-06,-0.3499999999562505
2.400757841068076e-06,-0.3499999999562504
2.402057722616263e-06,-0.3499999999562504
2.403854657320804e-06,-0.3499999999562504
2.405658626050404e-06,-0.3499999999562505
2.406934881941369e-06,-0.3499999999562505
2.408069144428212e-06,-0.3499999999562504
2.408606169245967e-06,-0.3499999999562503
2.408922706692618e-06,-0.3499999999562505
2.409150790401403e-06,-0.3499999999562504
2.409395833208773e-06,-0.3499999999562505
2.409574930224694e-06,-0.3499999999562504
2.4097003087453e-06,-0.3499999999562504
2.409794861145891e-06,-0.3499999999562505
2.409870191941309e-06,-0.3499999999562504
2.409934707754798e-06,-0.3499999999562504
2.409992984324892e-06,-0.3499999999562504
2.410047166066724e-06,-0.3499999999562503
2.410098436264671e-06,-0.3499999999562504
2.410147636675722e-06,-0.3499999999562504
2.410195500093448e-06,-0.3499999999562504
2.410242700083531e-06,-0.3499999999562504
2.41028985119377e-06,-0.3499999999562505
2.410337505103176e-06,-0.3499999999562504
2.410386133002023e-06,-0.3499999999562505
2.410436080646398e-06,-0.3499999999562503
2.410487494432289e-06,-0.3499999999562505
