(v("/Vout+" ?result "tran") - v("/Vout-" ?result "tran")) X,(v("/Vout+" ?result "tran") - v("/Vout-" ?result "tran")) Y
0,-8.249038113694596e-06
2e-06,-8.249038114138685e-06
2.001078884374198e-06,-8.24903811391664e-06
2.001878891877638e-06,-8.249038115026863e-06
2.00347890688452e-06,-8.249038115581975e-06
2.005488553449934e-06,-8.249038116692198e-06
2.009507846580762e-06,-8.249038116470153e-06
2.017546432842419e-06,-8.249038114915841e-06
2.033623605365732e-06,-8.249038116359131e-06
2.052004250229127e-06,-8.249038114582774e-06
2.0663583842317e-06,-8.249038114360729e-06
2.077438104317225e-06,-8.249038111696194e-06
2.086699262649756e-06,-8.249038110141882e-06
2.094980965519357e-06,-8.249038110919038e-06
2.102794265584472e-06,-8.249038109808815e-06
2.110455782307489e-06,-8.24903811003086e-06
2.118185698979386e-06,-8.249038108698592e-06
2.126185990366291e-06,-8.249038111141083e-06
2.134689500162307e-06,-8.249038112251306e-06
2.144004946051953e-06,-8.24903811247335e-06
2.154591620191866e-06,-8.249038115026863e-06
2.16721195802409e-06,-8.249038112917439e-06
2.183235343381454e-06,-8.249038113250506e-06
2.204652654842975e-06,-8.249038116026064e-06
2.229083539802819e-06,-8.249038116470153e-06
2.249679793863731e-06,-8.249038118024465e-06
2.266355170338861e-06,-8.249038118801622e-06
2.281037733373452e-06,-8.249038118690599e-06
2.294648016954094e-06,-8.249038119245711e-06
2.307401902740879e-06,-8.249038120466956e-06
2.319322214174343e-06,-8.249038121355134e-06
2.330399378408675e-06,-8.249038119467755e-06
2.34061209173188e-06,-8.249038120466956e-06
2.349935805660213e-06,-8.249038120577978e-06
2.358350135507237e-06,-8.249038121799224e-06
2.365841721436774e-06,-8.249038120689001e-06
2.372405122125516e-06,-8.249038119911845e-06
2.378044708528668e-06,-8.249038120800023e-06
2.382780150738755e-06,-8.249038118468555e-06
2.386657563700907e-06,-8.249038117802421e-06
2.389762522947802e-06,-8.249038118579577e-06
2.392215789038273e-06,-8.249038118468555e-06
2.394183561396765e-06,-8.249038120022867e-06
2.395794998012441e-06,-8.249038120577978e-06
2.39717216460745e-06,-8.249038119800822e-06
2.398408718643899e-06,-8.249038120355934e-06
2.399580851319378e-06,-8.249038118135488e-06
2.400757841068076e-06,-8.249038117802421e-06
2.402057722616263e-06,-8.249038118690599e-06
2.403854657320804e-06,-8.249038116248109e-06
2.405658626050404e-06,-8.249038116914242e-06
2.406934881941369e-06,-8.249038118801622e-06
2.408069144428212e-06,-8.249038119911845e-06
2.408606169245967e-06,-8.249038121244112e-06
2.408922706692618e-06,-8.249038121799224e-06
2.409150790401403e-06,-8.249038123908647e-06
2.409395833208773e-06,-8.249038122798424e-06
2.409574930224694e-06,-8.249038121688201e-06
2.4097003087453e-06,-8.249038122354335e-06
2.409794861145891e-06,-8.249038120911045e-06
2.409870191941309e-06,-8.249038121022068e-06
2.409934707754798e-06,-8.249038121577179e-06
2.409992984324892e-06,-8.24903812257638e-06
2.410047166066724e-06,-8.249038123908647e-06
2.410098436264671e-06,-8.249038123131491e-06
2.410147636675722e-06,-8.24903812546296e-06
2.410195500093448e-06,-8.249038127239317e-06
2.410242700083531e-06,-8.249038130014874e-06
2.41028985119377e-06,-8.249038132568387e-06
2.410337505103176e-06,-8.249038136343145e-06
2.410386133002023e-06,-8.249038137342346e-06
2.410436080646398e-06,-8.24903814089506e-06
2.410487494432289e-06,-8.249038141450171e-06
2.410540242476212e-06,-8.249038144003684e-06
2.410593887927607e-06,-8.249038146890264e-06
2.410647771541108e-06,-8.249038150442978e-06
2.410701186868036e-06,-8.249038155105914e-06
2.410753544652854e-06,-8.249038157992494e-06
2.410804437890181e-06,-8.249038162766453e-06
2.410853613183146e-06,-8.2490381659861e-06
2.410900908565907e-06,-8.249038172425394e-06
2.410946203413225e-06,-8.249038178753665e-06
2.41098939277002e-06,-8.249038186969315e-06
2.411030379915065e-06,-8.24903819252043e-06
2.411069077634782e-06,-8.249038199070746e-06
2.411105411741404e-06,-8.249038205287995e-06
2.411139323930055e-06,-8.249038211394222e-06
2.41117077336682e-06,-8.249038220720095e-06
2.411199737636255e-06,-8.249038229046768e-06
2.411226214540116e-06,-8.249038240593087e-06
2.411250227359601e-06,-8.249038248253626e-06
2.41127181425601e-06,-8.24903825713541e-06
2.411291174666423e-06,-8.24903826723844e-06
2.411308527418652e-06,-8.249038275121023e-06
2.411324396222466e-06,-8.249038281671339e-06
2.411339597153508e-06,-8.249038292440503e-06
2.41135521741442e-06,-8.249038304430911e-06
2.41137276783104e-06,-8.249038317531543e-06
2.411395039751614e-06,-8.249038331631375e-06
2.411425121705832e-06,-8.249038354724014e-06
2.411461390707797e-06,-8.249039218810594e-06
2.41149239565877e-06,-8.249138129245992e-06
2.41152056213385e-06,-8.255311653826425e-06
2.411526654903791e-06,-8.257317446691559e-06
2.41153389246661e-06,-8.264445895633799e-06
2.411538206570354e-06,-8.273217358967244e-06
2.411542727726726e-06,-8.291169426022371e-06
2.411546679095592e-06,-8.321942236433344e-06
2.411550219275059e-06,-8.374124031651498e-06
2.411553884922278e-06,-8.489061281480303e-06
2.411555893775055e-06,-8.619029535528178e-06
2.411557611452496e-06,-8.830356293065833e-06
2.411559404422089e-06,-9.151993068057251e-06
2.411562445394571e-06,-1.037774996770491e-05
2.411565654759972e-06,-1.344248907597656e-05
2.411568880202626e-06,-2.06270067303338e-05
2.411571982734676e-06,-3.56481769886452e-05
2.411574597076426e-06,-5.822071200511925e-05
2.411576763001005e-06,-8.482681433608086e-05
2.411579073846523e-06,-0.0001195498141370877
2.411580883928291e-06,-0.0001492074457536408
2.41158290710261e-06,-0.0001822166030812644
2.411585141368229e-06,-0.0002156987908777941
2.411588002325707e-06,-0.0002510055314915993
2.411590109098234e-06,-0.0002709446546468319
2.411591735845466e-06,-0.0002828840211125394
2.411593321880046e-06,-0.0002918893937916556
2.41159512454775e-06,-0.0002993917778169042
2.411597173447066e-06,-0.0003049951346174584
2.41159970243413e-06,-0.0003085734176198063
2.411603423877853e-06,-0.000309124799254934
2.411606677766449e-06,-0.0003063617681123842
2.411609504889591e-06,-0.0003023090102254322
2.411612273142413e-06,-0.0002972204719332572
2.411615041586759e-06,-0.0002912847416642883
2.411618093752377e-06,-0.0002839427734107058
2.411621552536745e-06,-0.0002747552521400465
2.411625675728315e-06,-0.0002627560116984506
2.411631153002974e-06,-0.0002453288608809112
2.411637481156711e-06,-0.0002234912323212379
2.411645002797138e-06,-0.0001957510182354349
2.411653232065472e-06,-0.0001639750385808991
2.411660979457378e-06,-0.0001336949863856018
2.411667643904458e-06,-0.0001082763316561097
2.411673567025555e-06,-8.721537860167938e-05
2.411679446699111e-06,-6.888740337640531e-05
2.411685080015719e-06,-5.456660910085898e-05
2.4116900510813e-06,-4.477862855922776e-05
2.411694757508191e-06,-3.775816472184612e-05
2.411699885630191e-06,-3.216151239227028e-05
2.411707245746163e-06,-2.677366319758789e-05
2.411714361777361e-06,-2.347436564276162e-05
2.411721119453659e-06,-2.13058808075095e-05
2.411728544326205e-06,-1.941431387253445e-05
2.411736910545352e-06,-1.750493796603969e-05
2.411746590724432e-06,-1.535824786136342e-05
2.411758428206343e-06,-1.270827164234767e-05
2.411772128400417e-06,-9.585033409087451e-06
2.411787807297532e-06,-5.96624092275011e-06
2.411807291586435e-06,-1.450546570302969e-06
2.411830968551924e-06,4.009852623720889e-06
2.411865435261686e-06,1.181852515741433e-05
2.411931508754811e-06,2.608175356721976e-05
2.412014597170303e-06,4.243099151313157e-05
2.412119492832445e-06,6.038171079281174e-05
2.412247030047571e-06,7.822164122528452e-05
2.412338390619317e-06,8.838235826069685e-05
2.412421096829401e-06,9.58179969954287e-05
2.412529321465554e-06,0.0001032711732679159
2.412624646529436e-06,0.0001078864311724326
2.412720190019441e-06,0.0001108567859517962
2.412837403090681e-06,0.0001124803401335583
2.412989838910962e-06,0.0001116727037003828
2.413174779572599e-06,0.0001069014007668567
2.413388255157971e-06,9.710630514569996e-05
2.413637839950921e-06,8.101948767502698e-05
2.41393741687541e-06,5.676847322011458e-05
2.414305332321561e-06,2.197609669141176e-05
2.414768239767166e-06,-2.619181816021499e-05
2.415340445012498e-06,-8.791353969150872e-05
2.415972210490263e-06,-0.0001544640333210889
2.416673983958078e-06,-0.0002227418980654816
2.417469810947198e-06,-0.0002904285941234264
2.418401393353726e-06,-0.0003555249289265427
2.419554171730937e-06,-0.0004164369817978297
2.421147413204137e-06,-0.0004717673691825297
2.423278360660299e-06,-0.0005095831232732051
2.425623904758883e-06,-0.0005220690783390713
2.427935958738837e-06,-0.0005182172946922581
