(v("/Vout+" ?result "tran") - v("/Vout-" ?result "tran")) X,(v("/Vout+" ?result "tran") - v("/Vout-" ?result "tran")) Y
0,-1.358235650550377e-05
2e-06,-1.346560407433639e-05
2.001078884374198e-06,-1.346554164760594e-05
2.001878891877638e-06,-1.346549557046384e-05
2.00347890688452e-06,-1.346540425040121e-05
2.005144570236925e-06,-1.346531042256682e-05
2.008475896941735e-06,-1.346512656230647e-05
2.015138550351355e-06,-1.346477353625364e-05
2.028463857170596e-06,-1.346412225999849e-05
2.055114470809077e-06,-1.346301041671438e-05
2.108415698086039e-06,-1.346137217839161e-05
2.215018152639964e-06,-1.345953503861796e-05
2.263394952880117e-06,-1.345915041361945e-05
2.293889641517813e-06,-1.345899919191762e-05
2.315873298096707e-06,-1.345891844628522e-05
2.338446225986292e-06,-1.345885186565532e-05
2.355441445173052e-06,-1.345881019754191e-05
2.367816217310339e-06,-1.345878363612218e-05
2.377814454474432e-06,-1.345876417879754e-05
2.386461504704024e-06,-1.34587486406712e-05
2.394243973366189e-06,-1.345873559244204e-05
2.401441981455471e-06,-1.345872425939643e-05
2.408225158276262e-06,-1.345871418578781e-05
2.410973094387907e-06,-1.34587102670336e-05
2.41398766549533e-06,-1.345870606916932e-05
2.415253777538568e-06,-1.345870433822061e-05
2.416532428733951e-06,-1.345870260771598e-05
2.417767006522139e-06,-1.345870095470492e-05
2.418458575863521e-06,-1.34587000356623e-05
2.419148233486079e-06,-1.345869912394715e-05
2.419694485831001e-06,-1.345869840596592e-05
2.420082828158563e-06,-1.345869789615151e-05
2.420386608799741e-06,-1.345869750013495e-05
2.420640623635031e-06,-1.345869716962156e-05
2.420869167525369e-06,-1.345869687241485e-05
2.421080180985814e-06,-1.345869659907795e-05
2.421278134480426e-06,-1.345869634217234e-05
2.421466056992287e-06,-1.345869609925554e-05
2.421646230545182e-06,-1.345869586621973e-05
2.421820523168378e-06,-1.345869564162161e-05
2.421990419656778e-06,-1.345869542235256e-05
2.422157084988195e-06,-1.345869520774645e-05
2.42232142618298e-06,-1.345869499580488e-05
2.422484123197004e-06,-1.345869478697193e-05
2.422645639703821e-06,-1.345869457969329e-05
2.422806222946458e-06,-1.3458694374191e-05
2.422965901128043e-06,-1.345869417024304e-05
2.423124486099494e-06,-1.345869396851551e-05
2.42328158753588e-06,-1.345869376767617e-05
2.42343664233274e-06,-1.345869357050056e-05
2.423588828862539e-06,-1.345869337798788e-05
2.423737648610034e-06,-1.345869318813975e-05
2.423882195031152e-06,-1.345869300495295e-05
2.424021672031589e-06,-1.345869282809442e-05
2.424155415121173e-06,-1.345869265856336e-05
2.42428286905985e-06,-1.345869249769205e-05
2.424403647253549e-06,-1.345869234470332e-05
2.424517593176681e-06,-1.345869220115148e-05
2.424624838493302e-06,-1.345869206503814e-05
2.424725839289533e-06,-1.345869193869476e-05
2.424821402138611e-06,-1.345869181967885e-05
2.42491281919692e-06,-1.345869170410463e-05
2.42500236136187e-06,-1.345869159075086e-05
2.42509460920545e-06,-1.345869147439949e-05
2.425200844513219e-06,-1.345869134050659e-05
