(v("/Vout+" ?result "tran") - v("/Vout-" ?result "tran")) X,(v("/Vout+" ?result "tran") - v("/Vout-" ?result "tran")) Y
0,-1.520443917824021e-05
2e-06,-1.520856279446647e-05
2.001078884374198e-06,-1.520856499348522e-05
2.001878891877638e-06,-1.520856661518799e-05
2.00347890688452e-06,-1.520856981540586e-05
2.005363639512052e-06,-1.520857351566818e-05
2.009133104767118e-06,-1.520858068926323e-05
2.01667203527725e-06,-1.520859417447618e-05
2.031749896297512e-06,-1.520861805015539e-05
2.061905618338038e-06,-1.52086557214659e-05
2.122217062419089e-06,-1.520870359172921e-05
2.146391747905048e-06,-1.520871471405449e-05
2.185360352808665e-06,-1.520872697713394e-05
2.199017822000261e-06,-1.520872993276967e-05
2.21310486243745e-06,-1.520873246907417e-05
2.226307811947176e-06,-1.520873447258264e-05
2.236587086521846e-06,-1.520873582028237e-05
2.245245128811296e-06,-1.520873682958612e-05
2.25317051346506e-06,-1.520873766602815e-05
2.260705069013288e-06,-1.520873838756209e-05
2.268035972006869e-06,-1.520873903215758e-05
2.275313067258633e-06,-1.520873961435854e-05
2.282667731062919e-06,-1.520874015059626e-05
2.29022116709131e-06,-1.520874065363831e-05
2.298092361917049e-06,-1.520874112903581e-05
2.306400564799715e-06,-1.520874158122965e-05
2.315257418344901e-06,-1.520874201066391e-05
2.324741995900265e-06,-1.520874242211256e-05
2.334852900138991e-06,-1.520874280391826e-05
2.345452676153835e-06,-1.520874315097398e-05
2.356263379307141e-06,-1.520874345650736e-05
2.366961322063932e-06,-1.520874371396808e-05
2.377300957181518e-06,-1.520874392668681e-05
2.387155705900476e-06,-1.5208744096884e-05
2.396478777836864e-06,-1.520874423344143e-05
2.405253773723966e-06,-1.520874434202124e-05
2.413468949982402e-06,-1.520874442861864e-05
2.421110515175611e-06,-1.520874449589815e-05
2.428163571974188e-06,-1.520874454863375e-05
2.434614806873902e-06,-1.520874458704746e-05
2.440455095169422e-06,-1.520874461902189e-05
2.445681611247733e-06,-1.520874464167044e-05
2.450299444112383e-06,-1.5208744659434e-05
2.454322871772915e-06,-1.520874467342281e-05
2.45777650166859e-06,-1.520874468252664e-05
2.460696443008587e-06,-1.520874468685651e-05
2.463128148537809e-06,-1.520874469085332e-05
2.465142167864534e-06,-1.520874469462807e-05
2.466803502933866e-06,-1.520874469851385e-05
2.468192041740017e-06,-1.520874470051226e-05
2.4688929981438e-06,-1.520874469906897e-05
2.469568602418972e-06,-1.520874469929101e-05
2.470149126640232e-06,-1.520874470062328e-05
2.470626256179805e-06,-1.520874470251066e-05
2.471043357355006e-06,-1.52087447057303e-05
2.471423913930609e-06,-1.520874470817279e-05
2.471780501405294e-06,-1.520874471072631e-05
2.472121320650259e-06,-1.520874471172551e-05
2.47245222643385e-06,-1.520874471261369e-05
2.472777853524309e-06,-1.520874471439004e-05
2.473102052631479e-06,-1.520874471505618e-05
2.473428049796615e-06,-1.52087447161664e-05
2.473758481658108e-06,-1.520874471494515e-05
2.4740953078337e-06,-1.52087447151672e-05
2.474439604634396e-06,-1.52087447151672e-05
2.474791289036251e-06,-1.520874471527822e-05
2.475148899177527e-06,-1.520874471594436e-05
2.475509620584318e-06,-1.520874471483413e-05
2.475869691337601e-06,-1.520874471394595e-05
2.476225095292913e-06,-1.520874471272471e-05
2.476572229780546e-06,-1.520874471194755e-05
2.476908261229378e-06,-1.520874471128142e-05
2.477231128951678e-06,-1.520874471305778e-05
2.477539355728449e-06,-1.520874471305778e-05
2.477831838092122e-06,-1.520874471305778e-05
2.478107702590269e-06,-1.520874471383493e-05
2.478366239042839e-06,-1.520874471472311e-05
2.47860689179913e-06,-1.520874471527822e-05
2.478829289409538e-06,-1.520874471605538e-05
2.479033300957748e-06,-1.520874471727662e-05
2.479219110493708e-06,-1.520874471594436e-05
2.479387292905376e-06,-1.520874471494515e-05
2.47953886205254e-06,-1.520874471649947e-05
2.479675283340316e-06,-1.520874471605538e-05
2.479798539309587e-06,-1.520874471505618e-05
2.479911425000519e-06,-1.520874471294675e-05
2.480018151251364e-06,-1.52087447131688e-05
2.480125298516184e-06,-1.520874471483413e-05
2.480244499224552e-06,-1.520874471627742e-05
2.480411587317435e-06,-1.520874472082934e-05
2.480608012303491e-06,-1.520874474836287e-05
2.480765017074428e-06,-1.520874481664158e-05
2.480894523477613e-06,-1.520874492322299e-05
2.481020391236403e-06,-1.520874508531556e-05
2.481135160744504e-06,-1.520874532268124e-05
2.48118249563124e-06,-1.520874546478979e-05
2.481225380048731e-06,-1.520874563532004e-05
2.481266840185912e-06,-1.520874586125043e-05
2.481299504228068e-06,-1.520874609450829e-05
2.481329413617422e-06,-1.520874635252412e-05
2.481355181400035e-06,-1.520874660476679e-05
2.481378912921677e-06,-1.520874685412288e-05
2.48141542716378e-06,-1.520874718341503e-05
2.481461507237372e-06,-1.520884184602611e-05
2.481493968056196e-06,-1.518492230578872e-05
2.481507815663882e-06,-1.463261229317503e-05
2.481518497870071e-06,-1.259615658300017e-05
2.4815249672931e-06,-1.058355765426455e-05
2.481533033914172e-06,-8.958963081950877e-06
2.481538847274237e-06,-9.583072938412762e-06
2.481544063613135e-06,-1.220936332735345e-05
2.481549667670675e-06,-1.790258949707635e-05
2.481556343508697e-06,-2.932653319709377e-05
2.481565468604184e-06,-5.396892793185781e-05
2.481572120591485e-06,-7.853090328391321e-05
2.481577683717953e-06,-0.0001030749107153728
2.48158241378636e-06,-0.0001264706687661432
2.481587578291003e-06,-0.0001541609405778521
2.481593815615099e-06,-0.0001896565232348824
2.481599294812523e-06,-0.0002217693561448186
2.48160481403615e-06,-0.0002540227598651912
2.481610492133839e-06,-0.0002861017255807452
2.481616556258434e-06,-0.0003180294356841529
2.481623465136114e-06,-0.0003501638919348737
2.481632542154409e-06,-0.0003836959505506554
2.481641630415504e-06,-0.0004065280331696508
2.48164931174546e-06,-0.0004178377469056249
2.481655627138035e-06,-0.0004223154078684122
2.481661474364902e-06,-0.000423163613804789
2.481667342769882e-06,-0.0004213470817523435
2.481673652263796e-06,-0.0004169398259626922
2.481680775946636e-06,-0.0004095194964799376
2.481687865070879e-06,-0.0004000725830827223
2.481697865597602e-06,-0.0003840959830848645
2.481714055329456e-06,-0.0003538306743527952
2.481728614595759e-06,-0.0003236773977814966
2.48174343839098e-06,-0.0002914740410003835
2.481758297903463e-06,-0.0002586426102441086
2.481772953411041e-06,-0.0002263361891970961
2.481786112313554e-06,-0.0001977241871200519
2.481802178143642e-06,-0.0001636279773087335
2.481825605911845e-06,-0.0001159724191750477
2.481851603012948e-06,-6.627093035804776e-05
2.481888607527026e-06,-1.556771622168718e-06
2.481929751047558e-06,6.206192805091604e-05
2.481963340068555e-06,0.0001075613730913139
2.481995127742632e-06,0.0001454496152623053
2.482027680742053e-06,0.0001792499840728157
2.482061238763305e-06,0.0002090525079480043
2.482095362392353e-06,0.0002344298145590118
2.482129310835877e-06,0.000255144964515619
2.48216258176655e-06,0.0002715239008521664
2.482194901802984e-06,0.0002842044819701961
2.48222610408487e-06,0.0002939028611946837
2.482255884204095e-06,0.0003012304881029326
2.482284739595977e-06,0.0003068723763153258
2.482311976899875e-06,0.0003111351810902718
2.482337790630907e-06,0.0003144054238120031
2.482362187851764e-06,0.0003169346463461897
2.482385101493038e-06,0.0003189035723184519
2.482406410929221e-06,0.0003204371974789844
2.482426513765958e-06,0.0003216572075214197
2.482445186798662e-06,0.0003226154709127238
2.482462640935298e-06,0.0003233723992532855
2.482479158363073e-06,0.0003239734337580069
2.482495059992598e-06,0.0003244526749182075
2.482510948962637e-06,0.0003248434827910485
2.482527913105875e-06,0.0003251800192638488
2.482547968495679e-06,0.0003254996079965489
2.482576285196187e-06,0.0003258520112294772
2.482616216448608e-06,0.0003261689122651124
2.482651925206535e-06,0.0003262695645042113
2.48268658704987e-06,0.0003261840155222018
2.482720787819913e-06,0.000325896478178711
2.482731969048975e-06,0.000325756771615171
2.482740956560551e-06,0.0003256314861247445
2.482746904606686e-06,0.0003255200667168223
2.48275304558307e-06,0.0003252350509629354
2.482758221162065e-06,0.0003246857337783071
2.482763607563792e-06,0.000323619707754963
2.482767487500117e-06,0.0003224665469202526
2.482771364046276e-06,0.0003209534927435254
2.482774664430051e-06,0.0003193687659932554
2.482777756683864e-06,0.0003176410560191689
2.482781137423524e-06,0.0003155183227268044
2.482785096670854e-06,0.000312842987867934
2.482789133313249e-06,0.0003100941027527337
2.482792609521895e-06,0.0003078760262218427
2.482796347866502e-06,0.0003058072358218533
2.482799705397357e-06,0.0003043176500666656
2.48280355278951e-06,0.0003030803015997563
2.482808148800951e-06,0.0003022314787346492
2.482814435233856e-06,0.0003019976605259655
2.482821121218172e-06,0.0003026262465039009
2.482827354462359e-06,0.0003037668636126645
2.48283326985114e-06,0.0003051403841280997
2.482839938619274e-06,0.0003068326472199789
2.48284798210784e-06,0.0003088730824107877
2.482859052100923e-06,0.000311353975630535
2.482873609924591e-06,0.0003139273036695256
2.482886906750991e-06,0.0003155681001437705
2.482909046986566e-06,0.0003170615743031124
2.48293535485611e-06,0.0003175649791509194
2.482962572007233e-06,0.0003173688069645353
2.482993516159304e-06,0.0003168218244774534
2.483030194302357e-06,0.0003160436222563456
2.483077430409584e-06,0.0003149684568105604
2.483135166466268e-06,0.0003135415342570003
2.483197949847331e-06,0.0003117974780936228
2.483266142757694e-06,0.0003096463331778709
2.483346840333689e-06,0.000306750980754944
2.483430303294182e-06,0.0003033671533173576
2.483531732760428e-06,0.0002987305958905839
2.483651066773079e-06,0.0002925270992994999
2.483744158350945e-06,0.0002871163925505238
2.483840739360801e-06,0.0002809732894900607
2.483958529240375e-06,0.0002727672150985017
2.484113384311331e-06,0.0002608270371580179
2.484305258792144e-06,0.0002443072741186159
2.484525698997902e-06,0.0002231384931425939
2.484779537316809e-06,0.0001961548218530895
2.485079748234067e-06,0.0001611433934260997
2.485440630702557e-06,0.0001154682105146687
2.485878484793425e-06,5.62026685916317e-05
2.48638694902185e-06,-1.591797940092565e-05
2.486982586679642e-06,-0.0001022575206804932
2.487714883138379e-06,-0.0002075741819799193
2.488593730827601e-06,-0.0003285554993783801
2.48960203904538e-06,-0.0004560872792026549
2.490782032989957e-06,-0.0005868592338866829
2.492197553621778e-06,-0.0007161645110148607
2.493535835266656e-06,-0.0008120032343387207
2.494922048604336e-06,-0.0008872406729441007
2.496543243572009e-06,-0.000949610398092382
2.498192224072619e-06,-0.0009906492452136373
2.499996409236433e-06,-0.001016252869217693
2.502132648545796e-06,-0.001028270712478463
2.504775984710946e-06,-0.00102523807535182
2.507968225932085e-06,-0.001005805522128367
2.511856718307724e-06,-0.0009699300342955741
2.516619783676794e-06,-0.0009182608423108363
2.522454606943068e-06,-0.0008521612579066584
2.529580957738394e-06,-0.0007733675103140936
2.538262474182466e-06,-0.0006834952719033671
2.548810587999889e-06,-0.0005841394891009655
2.561591267269214e-06,-0.0004772927089641277
2.577039161353486e-06,-0.0003657492470530155
2.595693992465367e-06,-0.0002531654867933275
2.618293010916667e-06,-0.0001436806610948249
2.646031687888127e-06,-4.115382327662953e-05
2.680295419620345e-06,4.939630245248683e-05
2.720181862274661e-06,0.0001195243482051689
2.759777603861604e-06,0.0001636268682884134
2.794673014373662e-06,0.0001883477599232686
2.834679540182567e-06,0.0002064909804755377
2.897445752687199e-06,0.0002226653188500682
2.96e-06,0.0002302767183040011
2.968600725701298e-06,0.0002306990890872385
2.977737549862225e-06,0.00023111970449885
2.990228433552921e-06,0.0002316368469952312
3.015210200934313e-06,0.0002324894716863035
3.065173735697097e-06,0.0002336604882061666
3.165100805222665e-06,0.0002348108781075053
3.364954944273801e-06,0.0002353894454855121
3.764663222376074e-06,0.0002353289929554192
4.56407977858062e-06,0.000235155331410386
6.162912890989712e-06,0.0002351212719564622
9.360579115807895e-06,0.0002351282983165115
1.575591156544426e-05,0.0002351275978245138
2.8546576464717e-05,0.0002351225776368038
5.412790626326247e-05,0.000235112714066732
7.654395313163124e-05,0.0002351040874994936
9.896e-05,0.0002350954609959821
9.910640090333986e-05,0.0002350954046559384
9.921878278786561e-05,0.0002350953614076445
9.927497373012848e-05,0.0002350953397849409
9.931902492466707e-05,0.0002350953228321684
9.935510009066415e-05,0.0002350953089481633
9.938964218537627e-05,0.0002350952956545749
9.940201553587183e-05,0.0002350952908921622
9.941518224140397e-05,0.0002350952858228839
9.941775893553769e-05,0.0002350952848315657
9.942226201472785e-05,0.0002350952830898478
9.942487775912281e-05,0.0002350952820742158
9.942758500682707e-05,0.0002350952810316054
