I0.phi_h X,I0.phi_h Y
0,1.84365368552492e-08
2e-06,1.843587078795587e-08
2.001078884374198e-06,1.84360284425582e-08
2.001878891877638e-06,1.843603717680312e-08
2.00347890688452e-06,1.843637709231471e-08
2.005363639512052e-06,1.843637705450276e-08
2.009133104767118e-06,1.843652609902027e-08
2.01667203527725e-06,1.843656321890291e-08
2.031749896297512e-06,1.843654911222806e-08
2.061905618338038e-06,1.843653676310082e-08
2.122217062419089e-06,1.843653794742631e-08
2.146391747905048e-06,1.843653913824745e-08
2.185360352808665e-06,1.843653978766553e-08
2.199017822000257e-06,1.843653986148686e-08
2.213104862437425e-06,1.843654000226667e-08
2.226307811947177e-06,1.843654007192103e-08
2.236587086521838e-06,1.843654021718972e-08
2.245245128811288e-06,1.84365401637715e-08
2.253170513465056e-06,1.843654024428322e-08
2.260705069013279e-06,1.843654029202643e-08
2.268035972006862e-06,1.843654033609543e-08
2.275313067258626e-06,1.843654035112678e-08
2.282667731062902e-06,1.843654048485278e-08
2.290221167091317e-06,1.843654050753454e-08
2.298092361917032e-06,1.843654056651826e-08
2.306400564799707e-06,1.843654077611072e-08
2.315257418344906e-06,1.843654064874572e-08
2.324741995900246e-06,1.843654076412778e-08
2.33485290013898e-06,1.843654073415442e-08
2.345452676153826e-06,1.843654079846214e-08
2.356263379307129e-06,1.843654080351645e-08
2.366961322063926e-06,1.843654083632636e-08
2.377300957181515e-06,1.843654101566607e-08
2.387155705900469e-06,1.843654092781822e-08
2.396478777836859e-06,1.843654097638974e-08
2.405253773723959e-06,1.843654108956938e-08
2.413468949982399e-06,1.8436541496083e-08
2.421110515175607e-06,1.843654206100931e-08
2.428163571974184e-06,1.843654322584534e-08
2.434614806873898e-06,1.843654596102913e-08
2.44045509516942e-06,1.843655187633358e-08
2.44568161124773e-06,1.843656588707116e-08
2.45029944411238e-06,1.843659944683111e-08
2.454322871772913e-06,1.84366839872635e-08
2.457776501668588e-06,1.843690818285251e-08
2.460696443008585e-06,1.843754682564851e-08
2.463128148537808e-06,1.843946650100035e-08
2.465142167864533e-06,1.844557721723014e-08
2.466803502933865e-06,1.846500657900791e-08
2.468192041740015e-06,1.852127872712199e-08
2.4688929981438e-06,1.86395084889391e-08
2.469568602418972e-06,1.875131537321522e-08
2.470149126640232e-06,1.892222161192212e-08
2.470626256179805e-06,1.914192945965707e-08
2.471043357355007e-06,1.937039995849877e-08
2.471423913930609e-06,1.961117200644827e-08
2.471780501405295e-06,1.987073254703578e-08
2.472121320650259e-06,2.014005299609504e-08
2.472452226433851e-06,2.040975612979606e-08
2.47277785352431e-06,2.067002704642165e-08
2.47310205263148e-06,2.090995321063317e-08
2.473428049796616e-06,2.1118405212979e-08
2.473758481658108e-06,2.128613374709696e-08
2.474095307833701e-06,2.141010199711125e-08
2.474439604634395e-06,2.150062954691448e-08
2.474791289036251e-06,2.159039202921274e-08
2.475148899177528e-06,2.174104176498782e-08
2.475509620584318e-06,2.204037135905263e-08
2.475869691337601e-06,2.258644319726678e-08
2.476225095292913e-06,2.346716518367106e-08
2.476572229780546e-06,2.475285415532595e-08
2.476908261229379e-06,2.651101841297154e-08
2.477231128951678e-06,2.883505082357515e-08
2.47753935572845e-06,3.187371967403478e-08
2.477831838092123e-06,3.585838739631006e-08
2.478107702590269e-06,4.113452696827293e-08
2.478366239042839e-06,4.820741007527223e-08
2.47860689179913e-06,5.780945403547979e-08
2.478829289409539e-06,7.099546282281522e-08
2.479033300957749e-06,8.926220406100484e-08
2.479219110493708e-06,1.146696778251819e-07
2.479387292905376e-06,1.49904867755992e-07
2.47953886205254e-06,1.981406318981827e-07
2.479675283340316e-06,2.622025225181955e-07
2.479798539309587e-06,3.416901975140666e-07
2.479911425000519e-06,4.263985283171873e-07
2.480018151251364e-06,4.873682391380082e-07
2.480125298516184e-06,4.637439319787656e-07
