I0.phi_s X,I0.phi_s Y
0,1.84365368552492e-08
2e-06,1.843487807340882e-08
2.001078884374198e-06,1.837828793979551e-08
2.001878891877638e-06,1.860640882506692e-08
2.00347890688452e-06,1.834891475971532e-08
2.005363639512052e-06,1.843946971854751e-08
2.009133104767118e-06,1.843776435308098e-08
2.01667203527725e-06,1.843661616247501e-08
2.031749896297512e-06,1.843658258803082e-08
2.061905618338038e-06,1.843655527392824e-08
2.122217062419089e-06,1.84365909266142e-08
2.146391747905048e-06,1.843686594785341e-08
2.185360352808665e-06,1.843785442570789e-08
2.199017822000257e-06,1.844131541303823e-08
2.213104862437425e-06,1.844392507984374e-08
2.226307811947177e-06,1.844887229609129e-08
2.236587086521838e-06,1.845621299942712e-08
2.245245128811288e-06,1.846292097146726e-08
2.253170513465056e-06,1.846947204967845e-08
2.260705069013279e-06,1.847660154231491e-08
2.268035972006862e-06,1.84839365520985e-08
2.275313067258626e-06,1.849125471717296e-08
2.282667731062902e-06,1.849846398171569e-08
2.290221167091317e-06,1.850549734502763e-08
2.298092361917032e-06,1.851233115558387e-08
2.306400564799707e-06,1.851902789700181e-08
2.315257418344906e-06,1.852579031164953e-08
2.324741995900246e-06,1.853302877307998e-08
2.33485290013898e-06,1.854143787836324e-08
2.345452676153826e-06,1.855203368417466e-08
2.356263379307129e-06,1.856608050345009e-08
2.366961322063926e-06,1.858491575991377e-08
2.377300957181515e-06,1.860986615850494e-08
2.387155705900469e-06,1.864246191709633e-08
2.396478777836859e-06,1.868484067231853e-08
2.405253773723959e-06,1.874010005286462e-08
2.413468949982399e-06,1.881261760022247e-08
2.421110515175607e-06,1.890850443130592e-08
2.428163571974184e-06,1.903627928821167e-08
2.434614806873898e-06,1.920777218848211e-08
2.44045509516942e-06,1.943922320295832e-08
2.44568161124773e-06,1.975234599344523e-08
2.45029944411238e-06,2.01745103698957e-08
2.454322871772913e-06,2.07352483946338e-08
2.457776501668588e-06,2.145001975100995e-08
2.460696443008585e-06,2.227312291059095e-08
2.463128148537808e-06,2.28326637259047e-08
2.465142167864533e-06,2.210025756998995e-08
2.466803502933865e-06,1.674229034033614e-08
2.468192041740015e-06,-1.481231060120223e-09
2.4688929981438e-06,-2.508535096406473e-08
2.469568602418972e-06,-7.528096524277299e-08
2.470149126640232e-06,-1.463371519468443e-07
2.470626256179805e-06,-2.449958224585998e-07
2.471043357355007e-06,-3.757951381829582e-07
2.471423913930609e-06,-5.516770825140617e-07
2.471780501405295e-06,-7.879355295872003e-07
