(v("/Vout+" ?result "tran") - v("/Vout-" ?result "tran")) X,(v("/Vout+" ?result "tran") - v("/Vout-" ?result "tran")) Y
0,-8.249038113694596e-06
2e-06,-8.249038117025265e-06
2.001078884374198e-06,-8.249038117469354e-06
2.001878891877638e-06,-8.249038117913443e-06
2.00347890688452e-06,-8.249038118801622e-06
2.005488553449934e-06,-8.249038119356733e-06
2.009507846580762e-06,-8.249038120244911e-06
2.017546432842419e-06,-8.2490381196898e-06
2.033623605365732e-06,-8.249038118135488e-06
2.052004250227846e-06,-8.24903811680322e-06
2.066358384230448e-06,-8.24903811680322e-06
2.077438104316213e-06,-8.249038114360729e-06
2.086699262648881e-06,-8.249038111585172e-06
2.094980965518539e-06,-8.24903811003086e-06
2.102794265583658e-06,-8.249038107810414e-06
2.110455782306687e-06,-8.249038107255302e-06
2.1181856989786e-06,-8.249038109364726e-06
2.126185990365451e-06,-8.249038109697793e-06
2.134689500161381e-06,-8.249038109475748e-06
2.144004946050936e-06,-8.249038108476547e-06
2.154591620190691e-06,-8.24903810858757e-06
2.167211958022635e-06,-8.249038107255302e-06
2.183235343379562e-06,-8.249038107810414e-06
2.204652654840489e-06,-8.249038104368722e-06
2.229083539800416e-06,-8.249038104479745e-06
2.249679793861824e-06,-8.249038105034856e-06
2.266355170337249e-06,-8.249038103369521e-06
2.281037733371982e-06,-8.249038103702588e-06
2.294648016952719e-06,-8.249038102925432e-06
2.307401902739593e-06,-8.249038106256101e-06
2.319322214173144e-06,-8.249038106700191e-06
2.330399378407567e-06,-8.249038107366324e-06
2.340612091730862e-06,-8.249038107033257e-06
2.349935805659285e-06,-8.249038109031659e-06
2.358350135506408e-06,-8.249038109475748e-06
2.365841721436041e-06,-8.249038107366324e-06
2.372405122124879e-06,-8.249038108476547e-06
2.378044708528127e-06,-8.249038107921436e-06
2.382780150738306e-06,-8.249038106811213e-06
2.386657563700543e-06,-8.24903810570099e-06
2.389762522947514e-06,-8.249038103924633e-06
2.392215789038044e-06,-8.249038103813611e-06
2.39418356139658e-06,-8.249038104146678e-06
