(v("/Vout+" ?result "tran") - v("/Vout-" ?result "tran")) X,(v("/Vout+" ?result "tran") - v("/Vout-" ?result "tran")) Y
0,-1.358235650550377e-05
2e-06,-1.34656040758907e-05
2.001078884374198e-06,-1.346554164816105e-05
2.001878891877638e-06,-1.346549557146304e-05
2.00347890688452e-06,-1.346540425140041e-05
2.005144570236925e-06,-1.346531042256682e-05
2.008475896941735e-06,-1.346512656175136e-05
2.015138550351355e-06,-1.346477353503239e-05
2.028463857170596e-06,-1.34641222565568e-05
2.055114470809077e-06,-1.346301041327269e-05
2.108415698086039e-06,-1.346137217761445e-05
2.215018152639964e-06,-1.345953504416908e-05
2.263394952870119e-06,-1.345915042205714e-05
2.293889641512694e-06,-1.345899920190963e-05
2.315873298091376e-06,-1.345891845783154e-05
2.338446225981718e-06,-1.345885187853391e-05
2.355441445169776e-06,-1.345881021008744e-05
2.367816217307829e-06,-1.345878364777953e-05
2.377814454472312e-06,-1.345876419023284e-05
2.386461504702151e-06,-1.345874865199548e-05
2.394243973364467e-06,-1.345873560365529e-05
2.401441981453873e-06,-1.345872427005457e-05
2.40822515827474e-06,-1.345871419577982e-05
2.410973094386929e-06,-1.34587102764705e-05
2.413987665494862e-06,-1.345870607916133e-05
2.415253777538147e-06,-1.345870434810159e-05
2.416532428733617e-06,-1.345870261981741e-05
2.417767006521822e-06,-1.34587009675835e-05
2.418458575863279e-06,-1.345870004954008e-05
2.419148233485922e-06,-1.345869913804698e-05
2.419694485830899e-06,-1.345869842073188e-05
2.42008282815849e-06,-1.345869791136156e-05
2.420386608799683e-06,-1.345869751445683e-05
2.420640623634981e-06,-1.345869718349935e-05
2.420869167525323e-06,-1.345869688718082e-05
2.421080180985772e-06,-1.345869661395493e-05
2.421278134480385e-06,-1.345869635782648e-05
2.421466056992248e-06,-1.345869611679706e-05
2.421646230545144e-06,-1.345869588442739e-05
2.421820523168342e-06,-1.345869566116153e-05
2.421990419656743e-06,-1.345869544255862e-05
2.422157084988161e-06,-1.345869522750842e-05
2.422321426182946e-06,-1.34586950173432e-05
2.42248412319697e-06,-1.345869480828821e-05
2.422645639703787e-06,-1.345869460078752e-05
2.422806222946424e-06,-1.345869439450809e-05
2.422965901128008e-06,-1.345869419056012e-05
2.423124486099461e-06,-1.345869398872157e-05
2.423281587535847e-06,-1.345869378754916e-05
2.423436642332707e-06,-1.345869359137275e-05
2.423588828862507e-06,-1.345869339774985e-05
2.423737648610002e-06,-1.345869320801274e-05
2.423882195031122e-06,-1.345869302482594e-05
2.42402167203156e-06,-1.34586928484115e-05
2.424155415121145e-06,-1.345869267899147e-05
2.424282869059824e-06,-1.345869251700993e-05
2.424403647253525e-06,-1.345869236313302e-05
2.424517593176658e-06,-1.3458692218693e-05
2.42462483849328e-06,-1.345869208291273e-05
2.424725839289513e-06,-1.345869195501503e-05
2.424821402138591e-06,-1.345869183544401e-05
2.424912819196901e-06,-1.3458691720869e-05
2.425002361361851e-06,-1.345869160818136e-05
2.42509460920543e-06,-1.345869149127488e-05
2.425200844513193e-06,-1.345869135815914e-05
2.425385484879957e-06,-1.345869112667764e-05
2.425528370856154e-06,-1.345869094726559e-05
2.425652023515355e-06,-1.345869079250051e-05
2.425781919249488e-06,-1.345869063096305e-05
2.425916739385936e-06,-1.345869046620596e-05
2.4260586980725e-06,-1.345869030444646e-05
2.426188464276506e-06,-1.345869018043455e-05
2.426291687740573e-06,-1.34586901124889e-05
2.426373378222484e-06,-1.345869009172773e-05
2.426414655358633e-06,-1.345869010216383e-05
2.426452607545474e-06,-1.345869013558154e-05
2.426493111653745e-06,-1.345869022628676e-05
2.426532875962636e-06,-1.345869053615001e-05
2.426562352200484e-06,-1.345869140634282e-05
2.426599559668611e-06,-1.345869845381653e-05
2.426639049509194e-06,-1.345878090441843e-05
2.426697312922114e-06,-1.346488605424856e-05
2.426753845621005e-06,-1.395143020832545e-05
2.426763771353835e-06,-1.421501548481974e-05
2.426783622819494e-06,-1.619212427195205e-05
2.426791876479622e-06,-1.820524130968781e-05
2.426801465675817e-06,-2.276138034329467e-05
2.426809732753963e-06,-3.016002044742283e-05
2.426816188610067e-06,-3.943328928701639e-05
2.426821992278694e-06,-5.149166011020334e-05
2.426827487237489e-06,-6.712028343414111e-05
2.426833058105694e-06,-8.805227797170634e-05
2.426839189512709e-06,-0.0001179469424312796
2.426845040484824e-06,-0.0001537615810159876
2.426848608420164e-06,-0.0001791467780162259
2.426851828873588e-06,-0.0002043388857407846
2.426858269780436e-06,-0.0002607558971392532
2.426864987092358e-06,-0.0003261898260844553
2.426871152898924e-06,-0.0003888969373768703
2.426876710121543e-06,-0.0004440512959866805
2.426881247916259e-06,-0.0004854073501767697
2.426884630802106e-06,-0.0005124663424970199
2.426887277860305e-06,-0.0005304718610888992
2.42688941647144e-06,-0.0005425696316204709
2.426891409686962e-06,-0.0005517357209018359
2.426893662986976e-06,-0.0005597309661957706
2.426896469178384e-06,-0.0005666463522532306
2.426898531248214e-06,-0.0005699560188716646
2.426900340340303e-06,-0.0005718555956086835
2.426902248182927e-06,-0.0005730295053274492
2.42690420140609e-06,-0.0005735113309447426
2.426906584479805e-06,-0.0005733065075883559
2.426909058675244e-06,-0.0005723539531587996
2.426911714244224e-06,-0.0005706441380862737
2.426914805305733e-06,-0.0005679169188830269
2.42691799113024e-06,-0.0005644145900145503
2.426921455243922e-06,-0.0005599275562437889
2.426925092999916e-06,-0.0005545451410556845
2.426929037678048e-06,-0.0005480079267736748
2.426933282318164e-06,-0.0005402240007073011
2.426937927471681e-06,-0.0005308772310262944
2.42694284828317e-06,-0.0005200927257815735
2.426948109733523e-06,-0.0005076233382390605
2.426953815535468e-06,-0.000493083442020481
2.426960077420296e-06,-0.0004760074254664959
2.426967020279043e-06,-0.0004558371198233324
