(v("/Vout+" ?result "tran") - v("/Vout-" ?result "tran")) X,(v("/Vout+" ?result "tran") - v("/Vout-" ?result "tran")) Y
0,-1.520443917824021e-05
2e-06,-1.520856279679794e-05
2.001078884374198e-06,-1.520856499548362e-05
2.001878891877638e-06,-1.520856661652026e-05
2.00347890688452e-06,-1.520856981607199e-05
2.005363639512052e-06,-1.520857351500204e-05
2.009133104767118e-06,-1.520858068737585e-05
2.01667203527725e-06,-1.520859417392106e-05
2.031749896297512e-06,-1.520861805148765e-05
2.061905618338038e-06,-1.520865572368635e-05
2.122217062419089e-06,-1.520870359483784e-05
2.146391747905048e-06,-1.520871471660801e-05
2.185360352808665e-06,-1.520872698024256e-05
2.199017822000257e-06,-1.520872993565625e-05
2.213104862437425e-06,-1.520873247040644e-05
2.226307811947177e-06,-1.520873447502513e-05
2.236587086521838e-06,-1.520873582205873e-05
2.245245128811288e-06,-1.520873683269475e-05
2.253170513465056e-06,-1.520873766813757e-05
2.260705069013279e-06,-1.520873838967152e-05
2.268035972006862e-06,-1.520873903215758e-05
2.275313067258626e-06,-1.520873961291525e-05
2.282667731062902e-06,-1.520874014837581e-05
2.290221167091317e-06,-1.520874064997457e-05
2.298092361917032e-06,-1.5208741125039e-05
2.306400564799707e-06,-1.520874157989738e-05
2.315257418344906e-06,-1.520874201077493e-05
2.324741995900246e-06,-1.520874242200154e-05
2.33485290013898e-06,-1.520874280469542e-05
2.345452676153826e-06,-1.520874315197318e-05
2.356263379307129e-06,-1.520874345695145e-05
2.366961322063926e-06,-1.520874371618852e-05
2.377300957181515e-06,-1.520874392679783e-05
2.387155705900469e-06,-1.520874409821626e-05
2.396478777836859e-06,-1.520874423488472e-05
2.405253773723959e-06,-1.520874434357555e-05
2.413468949982399e-06,-1.520874443139419e-05
2.421110515175607e-06,-1.52087444971194e-05
2.428163571974184e-06,-1.520874455018806e-05
2.434614806873898e-06,-1.520874458948995e-05
2.44045509516942e-06,-1.520874462068722e-05
2.44568161124773e-06,-1.520874464233657e-05
2.45029944411238e-06,-1.520874466021116e-05
2.454322871772913e-06,-1.520874467253464e-05
2.457776501668588e-06,-1.520874468186051e-05
2.460696443008585e-06,-1.520874468663447e-05
2.463128148537808e-06,-1.520874468952105e-05
2.465142167864533e-06,-1.520874469351785e-05
2.466803502933865e-06,-1.520874469607136e-05
2.468192041740015e-06,-1.520874469806976e-05
2.4688929981438e-06,-1.520874469962408e-05
2.469568602418972e-06,-1.520874470017919e-05
2.470149126640232e-06,-1.520874470217759e-05
2.470626256179805e-06,-1.520874470251066e-05
2.471043357355007e-06,-1.52087447037319e-05
2.471423913930609e-06,-1.520874470606337e-05
2.471780501405295e-06,-1.520874470795075e-05
2.472121320650259e-06,-1.520874470972711e-05
2.472452226433851e-06,-1.520874470994915e-05
2.47277785352431e-06,-1.520874471128142e-05
2.47310205263148e-06,-1.520874471028222e-05
2.473428049796616e-06,-1.520874470950506e-05
2.473758481658108e-06,-1.520874470750666e-05
2.474095307833701e-06,-1.520874470595235e-05
2.474439604634395e-06,-1.520874470584133e-05
2.474791289036251e-06,-1.520874470506417e-05
2.475148899177528e-06,-1.520874470439804e-05
2.475509620584318e-06,-1.520874470317679e-05
2.475869691337601e-06,-1.520874470128941e-05
2.476225095292913e-06,-1.52087447017335e-05
2.476572229780546e-06,-1.520874470117839e-05
2.476908261229379e-06,-1.520874470140043e-05
2.477231128951678e-06,-1.52087447007343e-05
2.47753935572845e-06,-1.520874470217759e-05
2.477831838092123e-06,-1.520874470206657e-05
2.478107702590269e-06,-1.520874470484213e-05
2.478366239042839e-06,-1.520874470550826e-05
2.47860689179913e-06,-1.520874470695155e-05
2.478829289409539e-06,-1.520874470717359e-05
2.479033300957749e-06,-1.520874470839484e-05
2.479219110493708e-06,-1.520874470783973e-05
2.479387292905376e-06,-1.520874470772871e-05
2.47953886205254e-06,-1.520874470817279e-05
2.479675283340316e-06,-1.520874470817279e-05
