(v("/Vout+" ?result "tran") - v("/Vout-" ?result "tran")) X,(v("/Vout+" ?result "tran") - v("/Vout-" ?result "tran")) Y
0,-1.727539222784458e-10
2e-06,-3.197951933142651e-05
2.090551151511176e-06,-3.349630240589985e-05
2.218629379559996e-06,-3.571326327445057e-05
2.270267189679683e-06,-3.664816584070252e-05
2.295948877244775e-06,-3.712230508878811e-05
2.347312252374961e-06,-3.80893947178329e-05
2.36161742499001e-06,-3.836325191730605e-05
2.368770011297535e-06,-3.850092988644249e-05
2.383075183912585e-06,-3.877779547900584e-05
2.388082362957515e-06,-3.887518276368684e-05
2.398096721047375e-06,-3.907070413522451e-05
2.402429668510659e-06,-3.915560847955746e-05
2.407011028752187e-06,-3.924558166712444e-05
2.407968819171442e-06,-3.926441820933935e-05
2.409884400009951e-06,-3.930222702319686e-05
2.410229832136114e-06,-3.930884298020132e-05
2.41092069638844e-06,-3.932164025277629e-05
2.411051218264568e-06,-3.932297918662897e-05
2.411189207635262e-06,-3.932233569148291e-05
2.411259394474102e-06,-3.932011132212754e-05
2.411316632146508e-06,-3.931527138645308e-05
2.41138904326074e-06,-3.930365968751737e-05
2.411445814487861e-06,-3.929682772307874e-05
2.411525094465075e-06,-3.929937995683641e-05
2.411542235543827e-06,-3.930141717356506e-05
2.411550806083203e-06,-3.930223764925245e-05
2.411567947161955e-06,-3.929778555811225e-05
2.411587653643828e-06,-3.917340901016253e-05
2.411604744644987e-06,-3.335721336827913e-05
2.411618215653796e-06,-1.552267483284631e-05
2.411633147660616e-06,-1.554163100181416e-05
2.411644442471382e-06,-2.735685804244881e-05
2.411661568715862e-06,-3.154410606420743e-05
2.411674679426669e-06,-3.211975331274264e-05
2.411696945794438e-06,-3.349302404043186e-05
2.411730378216649e-06,-3.536292450789791e-05
2.411775672229801e-06,-3.787904972429867e-05
2.411834391923073e-06,-4.083243373098622e-05
2.411917151059731e-06,-4.474867099002466e-05
2.412031666188529e-06,-4.937529749249325e-05
2.412202612771736e-06,-5.506305841096459e-05
2.412415486530173e-06,-6.005455111623981e-05
2.412588552125471e-06,-6.282759690290352e-05
2.412820779125968e-06,-6.489409589705009e-05
2.413010728641685e-06,-6.560643128517007e-05
2.413335337803728e-06,-6.503629072129868e-05
2.413704669307447e-06,-6.263838506070929e-05
2.414250450620725e-06,-5.685629766205569e-05
2.414895323839428e-06,-4.857636911825836e-05
2.416064428860305e-06,-3.331961076913359e-05
2.417344703983536e-06,-1.9373528446609e-05
2.419905254229997e-06,-2.042389271150746e-06
2.422336044771934e-06,4.522474569612633e-06
2.427045807852458e-06,6.367952238295338e-06
2.431355159112731e-06,3.552739845757991e-06
2.436848046092522e-06,-4.853108789282246e-07
2.4427062067081e-06,-4.747668455151732e-06
2.450444416260308e-06,-9.8319759620491e-06
2.460749889344016e-06,-1.595190858194595e-05
2.475487881592784e-06,-2.332330205034872e-05
2.494482005798579e-06,-3.110628063485166e-05
2.520769559081021e-06,-3.919004946284499e-05
2.527172488463673e-06,-4.083020653655733e-05
2.535823349546897e-06,-4.275809953102616e-05
2.541824855931765e-06,-4.405105294003064e-05
2.548027817271804e-06,-4.520877412261814e-05
2.549135547663776e-06,-4.545627740093483e-05
2.549689412859762e-06,-4.551588846812837e-05
2.550093194487156e-06,-4.563040088745307e-05
2.550661017661393e-06,-4.569370075324652e-05
2.551083242775422e-06,-4.580931997877347e-05
2.551171699977044e-06,-4.5791195620426e-05
2.551264856364776e-06,-4.584380161143375e-05
2.551325611259095e-06,-4.583524698364982e-05
2.551402060080128e-06,-4.588963338869601e-05
2.551461293574776e-06,-4.588889975698507e-05
2.551539807967684e-06,-4.592551219539942e-05
2.551566879013792e-06,-4.602874526193901e-05
2.551589382930322e-06,-4.611585862779322e-05
2.551612929110104e-06,-4.572795323221079e-05
2.551644239827017e-06,-4.589805104793232e-05
2.551675474623181e-06,-4.57192209377677e-05
2.55171383480482e-06,-4.585597680728526e-05
2.551754317127261e-06,-4.574842582683036e-05
2.551813578683798e-06,-4.585050110550437e-05
2.55188725520965e-06,-4.577545581774256e-05
2.552012210695527e-06,-4.587870594896515e-05
2.552166346595752e-06,-4.582154939947181e-05
2.552383986478119e-06,-4.594576055727551e-05
2.552611162977395e-06,-4.590998566567084e-05
2.552841196453893e-06,-4.602514888474296e-05
2.553092217062681e-06,-4.599333909838244e-05
2.553567432613669e-06,-4.614219952625565e-05
2.553988837843091e-06,-4.613748422022113e-05
2.554831648301936e-06,-4.633519976793288e-05
2.555661098104576e-06,-4.639275992379677e-05
2.557319997709857e-06,-4.67134129193969e-05
2.559109640386295e-06,-4.692614030354925e-05
2.56215872270038e-06,-4.748054713465955e-05
2.565208803392392e-06,-4.789464348342598e-05
2.568790296532501e-06,-4.851218391721535e-05
2.572141691123935e-06,-4.894038209379836e-05
2.576329988970785e-06,-4.960165272061001e-05
2.5819385557054e-06,-5.028630259362732e-05
2.590376951391358e-06,-5.139619809280127e-05
2.600842551472339e-06,-5.248947412295202e-05
2.616553640241338e-06,-5.405372907707484e-05
2.636704021471059e-06,-5.55525975981519e-05
2.665022851156852e-06,-5.729343194871284e-05
2.701312383389954e-06,-5.873408666312585e-05
2.750278959923218e-06,-6.01067217120832e-05
2.813783471534174e-06,-6.104855955113564e-05
2.886891735767087e-06,-6.180906872965686e-05
2.905168801825315e-06,-6.18767654140262e-05
2.932584400912658e-06,-6.212236494596013e-05
2.96e-06,-6.22286727367527e-05
2.977365396158204e-06,-6.236158636740985e-05
2.99761048232037e-06,-6.247727729413732e-05
3.017161824956266e-06,-6.258641252876451e-05
3.056264510228056e-06,-6.279678040221892e-05
3.134469880771637e-06,-6.320265373371825e-05
3.290880621858799e-06,-6.398928390294323e-05
3.603702104033123e-06,-6.554592347107757e-05
4.229345068381771e-06,-6.865683261259026e-05
5.480630997079067e-06,-7.487365206992891e-05
7.98320285447366e-06,-8.727490403237503e-05
1.298834656926284e-05,-0.0001118854809357694
2.299863399884121e-05,-0.0001598057609436543
4.301920885799794e-05,-0.0002463915673741601
7.635254219133128e-05,-0.0003444752179718735
9.896e-05,-0.0003669350538701988
9.92e-05,-0.0003669371008774291
9.926135693378343e-05,-0.0003669403300856633
9.929203540067515e-05,-0.0003669429746193664
9.930737463412101e-05,-0.0003669440235711807
9.933805310101274e-05,-0.0003669464820429402
9.93460622923051e-05,-0.000366947150725716
9.935336433883155e-05,-0.0003669476943002348
9.935625088827958e-05,-0.0003669479444743384
9.936200696292086e-05,-0.0003669484080580654
9.936640401529307e-05,-0.0003669487654129888
9.93673437936613e-05,-0.0003669488418772682
9.936922335039776e-05,-0.0003669490131147368
9.936979728170095e-05,-0.0003669487140243177
9.937004971629937e-05,-0.0003669466841639268
9.937055458549623e-05,-0.0003669422246346254
9.937100153091118e-05,-0.000366916011552032
9.937109824668215e-05,-0.0003667882244525744
9.937129167822409e-05,-0.0003664121218651673
9.937135916241621e-05,-0.0003654688535873474
9.937141628481164e-05,-0.0003651891280566089
9.937147388010094e-05,-0.0003669777428625398
9.937151978719958e-05,-0.0003656003991264756
9.937157069450251e-05,-0.0003668249056577588
9.937160167900601e-05,-0.0003670136069334751
9.937163454994645e-05,-0.0003684502962445491
9.937166647569978e-05,-0.0003684757085815615
9.937169927676974e-05,-0.0003687271407156745
9.937173339987174e-05,-0.0003686377161968846
9.93717833593404e-05,-0.0003686487046098419
9.937185147462896e-05,-0.0003684901454960032
9.937194872647189e-05,-0.0003683260019524681
9.937207806719725e-05,-0.0003680387042379607
9.93722800442892e-05,-0.0003676712112256064
9.937246724330313e-05,-0.0003672667557352849
9.937265118792809e-05,-0.0003669711594267433
9.937287114935594e-05,-0.0003666284256643726
9.937308037488585e-05,-0.0003663924597158141
9.937341426159778e-05,-0.0003660694072097348
9.937382136785212e-05,-0.0003658214669517434
9.937438814405391e-05,-0.0003656122269757311
9.937510741239724e-05,-0.0003655357588322472
9.937628229746349e-05,-0.0003655966757456497
9.937776703487621e-05,-0.0003658101203464215
9.938053204770764e-05,-0.0003661460601931399
9.938332403690249e-05,-0.0003663422851875042
9.938755741967643e-05,-0.0003664547830770637
9.939229523363919e-05,-0.0003665045580170112
9.939776869911969e-05,-0.0003665313035625672
9.940384832809661e-05,-0.0003665663987990619
9.941189135367383e-05,-0.0003666027158456542
9.942295450224069e-05,-0.0003666608610705113
9.943809566361058e-05,-0.0003667252981639502
9.945870877128517e-05,-0.0003668104959297924
9.948506097700541e-05,-0.0003668872398326917
9.949091322203113e-05,-0.0003669065304113817
9.949818033068257e-05,-0.0003669200095655079
9.95060924583925e-05,-0.0003669407814087533
9.950754638553516e-05,-0.0003669405843729212
9.950827334910649e-05,-0.0003669447690541894
9.950972727624915e-05,-0.0003669453319063987
9.950999784655518e-05,-0.0003669502378902401
9.951053898716724e-05,-0.0003669764877771708
9.951097125754263e-05,-0.0003671594815708445
9.95110670009774e-05,-0.000367615479507033
9.951125848784695e-05,-0.0003722868139111046
9.951129739056191e-05,-0.0003761873565462093
9.951137519599185e-05,-0.0004019775178891738
9.951143509828465e-05,-0.000422545880728209
9.951149407050505e-05,-0.0004141521474650967
9.951152863361635e-05,-0.0004046320359760713
9.951155812388086e-05,-0.0003946017202353103
9.951158058938983e-05,-0.0003865194679499862
9.951160535349063e-05,-0.0003779725107041498
9.951163084701661e-05,-0.000369807453390214
9.951165775346624e-05,-0.000361828271720821
9.951168492358122e-05,-0.000354381552455485
9.951172549434435e-05,-0.0003442983221780826
9.951177698545052e-05,-0.0003331047679547838
9.951185869839901e-05,-0.0003184490272279961
9.951195701438171e-05,-0.0003049501894686335
9.951211602859552e-05,-0.000290117704549564
9.951231841308758e-05,-0.0002799357548617376
9.951255557775017e-05,-0.000275864442011664
9.95128081701415e-05,-0.0002773641610770428
9.951304744329385e-05,-0.0002824004717164597
9.951341209724731e-05,-0.0002944548682871639
9.951386503670142e-05,-0.0003143918170041005
9.951453102137903e-05,-0.0003500747046808472
9.951536044407728e-05,-0.0004014466632974445
9.951668767857118e-05,-0.0004935321459155206
9.951835899698811e-05,-0.0006198702449831117
9.952123977092506e-05,-0.0008489040394723535
9.952410922020386e-05,-0.001079916102115441
9.952768287668872e-05,-0.001361769875977914
9.953108269260699e-05,-0.001620003173579576
9.953485431886549e-05,-0.001893420716080452
9.95401170882771e-05,-0.002251343097908864
9.954696505527349e-05,-0.002677009385558704
9.955834741119829e-05,-0.00329132669582699
9.957045044791455e-05,-0.00382870156863635
9.959465652134706e-05,-0.004607517773290382
9.961628520681094e-05,-0.005027676568145845
9.965954257773871e-05,-0.005338756207488471
9.970059833553549e-05,-0.005183272685284956
9.977159531018096e-05,-0.004391647750699779
9.979113897789124e-05,-0.004096971216673406
9.983022631331181e-05,-0.003463359942926902
9.987511315665591e-05,-0.002685780908225577
9.992000000000001e-05,-0.00187647420983228
9.994189346126267e-05,-0.001473019231547301
9.996864245311247e-05,-0.000978070550126886
9.999385682571126e-05,-0.0005083218442916149
0.0001000442855709088,0.0004371748801812458
0.000100145143061304,0.002340994344686598
0.0001003468580420943,0.006165966072923301
0.0001007502880036749,0.01383083355188008
0.0001013751440018375,0.02572516725001872
0.000102,0.03765138061991591
0.0001020563115003346,0.03872789443178926
