(v("/Vout+" ?result "tran") - v("/Vout-" ?result "tran")) X,(v("/Vout+" ?result "tran") - v("/Vout-" ?result "tran")) Y
0,1.307495223201727e-10
2e-06,-1.692923897211873e-05
2.085906750064629e-06,-1.768821881886762e-05
2.205301819739301e-06,-1.877637833369583e-05
2.26023429692967e-06,-1.929973592296186e-05
2.370099251310407e-06,-2.039220728378144e-05
2.389993086160258e-06,-2.059669522957996e-05
2.399940003585183e-06,-2.069973313278961e-05
2.404913462297646e-06,-2.075145201596573e-05
2.414860379722572e-06,-2.085529198025959e-05
2.416604939538306e-06,-2.087355950708414e-05
2.420094059169776e-06,-2.09101445644011e-05
2.422991180405183e-06,-2.094057998192067e-05
2.42358622548372e-06,-2.094683490749816e-05
2.424776315640795e-06,-2.095939425794668e-05
2.425281816090361e-06,-2.09647087100473e-05
2.425835325619145e-06,-2.097067592132795e-05
2.426143402632196e-06,-2.097478435580946e-05
2.426240676441542e-06,-2.097652011490148e-05
2.426368094283801e-06,-2.097960421987288e-05
2.426466013777044e-06,-2.098285917961906e-05
2.426570285185709e-06,-2.098606730382979e-05
2.426660473336235e-06,-2.098555438523331e-05
2.426705567411498e-06,-2.098326182897736e-05
2.426795755562024e-06,-2.089298259855266e-05
2.426824065646403e-06,-2.05472059918721e-05
2.426880685815161e-06,-2.457392082488852e-06
2.426891103906355e-06,4.86360337037528e-06
2.426911940088745e-06,2.368096680815945e-05
2.426943086828114e-06,4.883631762719887e-05
2.426950623659972e-06,5.071884217566769e-05
2.42696569732369e-06,3.566612690464321e-05
2.426982589309626e-06,9.367307180818685e-06
2.427002522985838e-06,-4.589228001061763e-06
2.427007382654632e-06,-5.087695338357179e-06
2.427017101992219e-06,-5.785020622872672e-06
2.427036540667395e-06,-6.651054788919808e-06
2.427075418017746e-06,-7.999143154857613e-06
2.427129656394777e-06,-9.682816180300868e-06
2.427196317031362e-06,-1.166958296561216e-05
2.427283017944779e-06,-1.414385690889919e-05
2.42741329807816e-06,-1.76686950124072e-05
2.427648680745848e-06,-2.34110385204378e-05
2.427848471879076e-06,-2.768275892039984e-05
2.428031572975699e-06,-3.112082263401206e-05
2.428254299960974e-06,-3.47350947037528e-05
2.428699753931522e-06,-4.021314565272327e-05
2.42913392760179e-06,-4.352223580572634e-05
2.429809522559754e-06,-4.534774208886372e-05
2.430500974225354e-06,-4.382521346990575e-05
2.431617776113861e-06,-3.643005876863281e-05
2.433171004795829e-06,-2.045362586877708e-05
2.435201072645554e-06,3.309167439180527e-06
2.4368668692649e-06,2.166610339726649e-05
2.43839046056723e-06,3.615483163854627e-05
2.440467346019848e-06,5.198600573541601e-05
2.443443277220713e-06,6.76583255054819e-05
2.446854542394442e-06,7.777256375618435e-05
2.453677072741902e-06,8.390584022954783e-05
2.461503621672701e-06,8.002539037599288e-05
2.477156719534299e-06,6.588814379315799e-05
2.492183586248295e-06,5.235277964310558e-05
2.519542578921182e-06,3.155516105257661e-05
2.525103010203523e-06,2.783374782655557e-05
2.527883225844693e-06,2.603631651132421e-05
2.53067007163021e-06,2.427004238125807e-05
2.533963006896549e-06,2.223605763629344e-05
2.536823017413083e-06,2.05084630524599e-05
2.537767832856956e-06,1.994853113485018e-05
2.538458768555386e-06,1.953877842586493e-05
2.538975445951245e-06,1.92366607101313e-05
2.539377966207553e-06,1.899956726825192e-05
2.539850578034874e-06,1.87250254077842e-05
2.540256041841588e-06,1.848617272004471e-05
2.540489403544948e-06,1.833728495592712e-05
2.540573524722846e-06,1.827238490725858e-05
2.540741767078641e-06,1.811135411933229e-05
2.540861911400996e-06,1.793902587199359e-05
2.54096325567982e-06,1.781679138834757e-05
2.541076600503516e-06,1.772710820979739e-05
2.541147654308463e-06,1.769456697053862e-05
2.541187674969032e-06,1.76681545995816e-05
2.541240478080179e-06,1.769683922503429e-05
2.541279888154998e-06,1.80621194628694e-05
2.541328189309719e-06,1.802765464753442e-05
2.541375053587872e-06,1.812403016798747e-05
2.541440864897293e-06,1.80248747319034e-05
2.541517360455299e-06,1.80306586787804e-05
2.54162496477743e-06,1.790433242676581e-05
2.541769621748972e-06,1.784356630940565e-05
2.54196134250525e-06,1.766805919478642e-05
2.542130670260457e-06,1.758351906244737e-05
2.542311334988119e-06,1.742802500792617e-05
2.542521968225241e-06,1.731055803633197e-05
2.542846928187988e-06,1.706878219309704e-05
2.543304858620192e-06,1.679332384030285e-05
2.543879466208986e-06,1.64097296609933e-05
2.544601733964048e-06,1.599066047930364e-05
2.545634511057799e-06,1.536405420321518e-05
2.547034548529648e-06,1.459072347020918e-05
2.547734567265572e-06,1.418426409827145e-05
2.549134604737421e-06,1.343968230027581e-05
2.550405361589437e-06,1.273916530875052e-05
2.552068092420072e-06,1.187484041142994e-05
2.555393554081344e-06,1.012155383628421e-05
2.558470435258467e-06,8.564899215190991e-06
2.564624197612713e-06,5.49443118769144e-06
2.571816568453393e-06,2.112021759703708e-06
2.58420191078792e-06,-3.332516192444679e-06
2.597611146176215e-06,-8.617809344912963e-06
2.620347065245917e-06,-1.643483806490487e-05
2.645813548388275e-06,-2.36265966455651e-05
2.682114724097021e-06,-3.171349140906887e-05
2.724425397104773e-06,-3.860273409983517e-05
2.780007797728975e-06,-4.48618448977145e-05
2.856013692536824e-06,-5.011008514077542e-05
2.96e-06,-5.403184366892244e-05
2.981171191525278e-06,-5.449938858637093e-05
3.019894293833512e-06,-5.529420666050555e-05
3.056059949402324e-06,-5.591731269150024e-05
3.128391260539948e-06,-5.693978529941468e-05
3.273053882815196e-06,-5.850842925758659e-05
3.562379127365693e-06,-6.103679936686479e-05
4.141029616466685e-06,-6.580295978320105e-05
5.29833059466867e-06,-7.536682601483324e-05
7.61293255107264e-06,-9.443306617074043e-05
1.224213646388058e-05,-0.0001323291308440444
2.150054428949646e-05,-0.0002064034379825053
4.001735994072821e-05,-0.0003423696951712074
7.335069327406155e-05,-0.0005162944816383686
9.896e-05,-0.0005642924092583712
9.92e-05,-0.0005642861470654958
9.925920826978458e-05,-0.0005642881169721781
9.928881240467687e-05,-0.0005642915079621114
9.934802067446146e-05,-0.0005642984235104676
9.935909135792582e-05,-0.0005642997744803591
9.936462669965799e-05,-0.0005643006200607426
9.937076532634792e-05,-0.0005643014565148707
9.937396799146849e-05,-0.0005643018939395228
9.937673824226111e-05,-0.0005643022742811699
9.937982015469015e-05,-0.0005643026987165456
9.938284950712203e-05,-0.0005643031029803902
9.938350809853745e-05,-0.0005643041013290162
9.938441291376591e-05,-0.0005643022946330012
9.938490808032783e-05,-0.0005643086552111765
9.93853567059003e-05,-0.0005643071717919002
9.938579173003487e-05,-0.0005642938098792127
9.938600924210215e-05,-0.0005642049279469541
9.938619344053456e-05,-0.0005638925819267948
9.9386332843691e-05,-0.000563041966355704
9.938643933883223e-05,-0.0005604211211854837
9.938656460818441e-05,-0.0005477825458471974
9.938665582022587e-05,-0.0005472419469058076
9.938675520842637e-05,-0.0005438137035703727
9.938684644791924e-05,-0.0005440190199929029
9.938689290300636e-05,-0.000548669971173088
9.938695252520064e-05,-0.0005638094989929288
9.938699520284627e-05,-0.0005735460879340293
9.938703746995684e-05,-0.0005775636504655735
9.938708176204424e-05,-0.0005788394870687164
9.938713761533584e-05,-0.0005790758079323721
9.938721853393084e-05,-0.0005786745091310719
9.938734028229465e-05,-0.0005778256143514904
9.938754127830033e-05,-0.0005764279682938245
9.938770371136455e-05,-0.0005754062441766239
9.938788651873801e-05,-0.0005742222847971989
9.9388073494753e-05,-0.0005731201212407777
9.938836624079822e-05,-0.0005714981519453488
9.938884456864426e-05,-0.0005691968511013501
9.938936883277207e-05,-0.000567068491000966
9.939001801327347e-05,-0.0005649384348388464
9.939080261030012e-05,-0.0005629455426953145
9.93920476934308e-05,-0.0005607806845815411
9.939380960068246e-05,-0.0005591041866758184
9.939454423003557e-05,-0.0005587533611746132
9.939601348874178e-05,-0.0005583840718742517
9.939732012751515e-05,-0.0005583395720109019
9.939973149344558e-05,-0.0005586074637747851
9.94035227238698e-05,-0.0005594427262284318
9.940740205254828e-05,-0.0005603929462087986
9.941516070990525e-05,-0.0005620050637660245
9.94245219678777e-05,-0.0005633209947041307
9.943841383320706e-05,-0.0005644011394053683
