(v("/Vout+" ?result "tran") - v("/Vout-" ?result "tran")) X,(v("/Vout+" ?result "tran") - v("/Vout-" ?result "tran")) Y
0,-5.857314633317401e-12
2e-06,-2.659683946104607e-05
2.085906750064629e-06,-2.778962007166097e-05
2.205301819739301e-06,-2.949945683683453e-05
2.282749839203678e-06,-3.06653509685173e-05
2.349478338908796e-06,-3.170743328273495e-05
2.426413254675258e-06,-3.29539089829467e-05
2.443095424544953e-06,-3.323069099681053e-05
2.4514365094798e-06,-3.336997088321247e-05
2.455607051947224e-06,-3.343983425885266e-05
2.463948136882071e-06,-3.358000983222365e-05
2.466174777914922e-06,-3.361753087949282e-05
2.470628059980624e-06,-3.369270174580219e-05
2.475181332298533e-06,-3.37697411691984e-05
2.478566308097325e-06,-3.382713952904126e-05
2.479245273730385e-06,-3.38386627446452e-05
2.479584756546915e-06,-3.384443299969675e-05
2.48002700238799e-06,-3.38519486452471e-05
2.48051049926529e-06,-3.386032349772528e-05
2.480926332433857e-06,-3.386939101823749e-05
2.481089843057979e-06,-3.387394781373398e-05
2.481177556852652e-06,-3.38767794505479e-05
2.481241324475121e-06,-3.387937390975093e-05
2.481329883191512e-06,-3.388319976560528e-05
2.48139308521066e-06,-3.388230206224918e-05
2.481473428076503e-06,-3.387086871797784e-05
2.481501943893183e-06,-3.386367565716419e-05
2.481537242124542e-06,-3.389133220443874e-05
2.481561289197069e-06,-3.442656016117152e-05
2.481587261247582e-06,-3.234027508725035e-05
2.481615724960111e-06,-2.597603595555498e-05
2.481643094024089e-06,-1.755341613984829e-05
2.481676583943071e-06,-6.207353303588903e-06
2.481717751032214e-06,5.455940606080567e-06
2.481770117876672e-06,5.663049968740452e-06
2.481823593886866e-06,-1.157698665088525e-05
2.4818791666203e-06,-2.901648472475316e-05
2.481953605554222e-06,-4.123272211431495e-05
2.482026893816016e-06,-4.656895007071338e-05
2.482108627580198e-06,-4.945571473125021e-05
2.482211281866233e-06,-5.133294912962327e-05
2.482362272153204e-06,-5.316578197922528e-05
2.482448219282142e-06,-5.401818650552226e-05
2.482514173746137e-06,-5.477603230008565e-05
2.482587408678512e-06,-5.565257905548737e-05
2.482651769294117e-06,-5.630239534615278e-05
2.482683949601919e-06,-5.6550410263978e-05
2.482748310217525e-06,-5.688451844076958e-05
2.48276399114916e-06,-5.692707734317182e-05
2.482795353012429e-06,-5.618439492383054e-05
2.482820483102167e-06,-5.460146296354385e-05
2.482833048147035e-06,-5.42658123775519e-05
2.482858178236773e-06,-5.465313132690941e-05
2.482893084794899e-06,-5.545600373579873e-05
2.482935360658418e-06,-5.587762627512483e-05
2.482993315505479e-06,-5.63610503185874e-05
2.483057786891273e-06,-5.682674119145137e-05
2.48314246883608e-06,-5.732669983016248e-05
2.483249052702487e-06,-5.783073316845133e-05
2.483376865187276e-06,-5.820668475553514e-05
2.483539493161687e-06,-5.840736978768302e-05
2.483763124516262e-06,-5.809949096091671e-05
2.483952179677679e-06,-5.738378399966493e-05
2.484158252605505e-06,-5.61115864265993e-05
2.484468056672911e-06,-5.340014579657826e-05
2.484876393607758e-06,-4.848737854978857e-05
2.485396234637285e-06,-4.056617425474141e-05
2.486083238183465e-06,-2.814854601396188e-05
