(v("/Vout+" ?result "tran") - v("/Vout-" ?result "tran")) X,(v("/Vout+" ?result "tran") - v("/Vout-" ?result "tran")) Y
0,-4.960215416183189e-08
2e-06,-4.955132104633719e-08
2.001078884374198e-06,-4.955129495609611e-08
2.001878891877638e-06,-4.955127674843851e-08
2.00347890688452e-06,-4.955123844574416e-08
2.005488553449904e-06,-4.955118992899799e-08
2.009507846580672e-06,-4.955109556004089e-08
2.017546432842208e-06,-4.955091670311162e-08
2.033623605365281e-06,-4.955060695088775e-08
2.052004250227246e-06,-4.95503204023251e-08
2.066358384229917e-06,-4.955013743757064e-08
2.077438104315775e-06,-4.955001631223865e-08
2.086699262648497e-06,-4.954992938177583e-08
2.094980965518167e-06,-4.954986088101521e-08
2.102794265583327e-06,-4.954980425964095e-08
2.110455782306372e-06,-4.954974919257893e-08
2.118185698978238e-06,-4.954970378445722e-08
2.126185990365059e-06,-4.95496622621161e-08
2.134689500161022e-06,-4.954961763115051e-08
2.144004946050493e-06,-4.954957266711801e-08
2.154591620190176e-06,-4.95495268149071e-08
2.167211958022026e-06,-4.954948296109762e-08
2.183235343378734e-06,-4.954943721990901e-08
2.204652654839351e-06,-4.954938792600672e-08
2.229083539799438e-06,-4.954934529344257e-08
2.249679793861058e-06,-4.954931909217919e-08
2.266355170336607e-06,-4.954930188372231e-08
2.281037733371391e-06,-4.954928845002371e-08
2.294648016952169e-06,-4.95492789021057e-08
2.307401902739082e-06,-4.954927146361143e-08
2.319322214172661e-06,-4.954926147160421e-08
2.330399378407121e-06,-4.954925492128837e-08
2.340612091730458e-06,-4.954925003630706e-08
2.349935805658917e-06,-4.95492473717718e-08
2.358350135506076e-06,-4.95492475938164e-08
2.365841721435748e-06,-4.954924370803582e-08
2.372405122124626e-06,-4.954924170963437e-08
2.378044708527911e-06,-4.954924126554516e-08
2.382780150738128e-06,-4.954924048838905e-08
2.3866575637004e-06,-4.954924004429984e-08
2.389762522947399e-06,-4.954923871203221e-08
2.392215789037954e-06,-4.954923815692069e-08
2.394183561396506e-06,-4.954923971123293e-08
2.395794998012225e-06,-4.954923760180918e-08
2.397172164607261e-06,-4.954923937816602e-08
2.398408718643725e-06,-4.954924182065668e-08
2.399580851319209e-06,-4.954924537337035e-08
2.400757841067901e-06,-4.954924237576819e-08
2.402057722616048e-06,-4.954924026634444e-08
2.403854657320445e-06,-4.954923671363076e-08
2.405658626050221e-06,-4.954923626954155e-08
2.406934881941243e-06,-4.954923316091708e-08
2.408069144428083e-06,-4.954922994127031e-08
2.408606169385085e-06,-4.954923105149334e-08
2.408922706912918e-06,-4.95492338270509e-08
2.409150790689515e-06,-4.95492337160286e-08
2.409395833548221e-06,-4.954923538136313e-08
2.409574930672355e-06,-4.954923538136313e-08
2.409700309042751e-06,-4.954923316091708e-08
2.409794861130454e-06,-4.954923304989478e-08
2.40987019145136e-06,-4.954923327193939e-08
2.409934705749019e-06,-4.954923182864945e-08
2.409992978918633e-06,-4.954923094047103e-08
2.410047168782517e-06,-4.954923160660485e-08
2.410098435598013e-06,-4.954923049638182e-08
