(v("/Vout+" ?result "tran") - v("/Vout-" ?result "tran")) X,(v("/Vout+" ?result "tran") - v("/Vout-" ?result "tran")) Y
0,-5.487643639501272e-08
2e-06,-5.487421717020879e-08
2.001078884374198e-06,-5.487421583794116e-08
2.001878891877638e-06,-5.487421461669584e-08
2.00347890688452e-06,-5.487421361749512e-08
2.005144570236911e-06,-5.487421328442821e-08
2.008475896941693e-06,-5.487421084193755e-08
2.015138550351257e-06,-5.487420506877783e-08
2.028463857170386e-06,-5.487419374450297e-08
2.055114470808644e-06,-5.487417287231011e-08
2.108415698085159e-06,-5.487414200811003e-08
2.215018152638189e-06,-5.487410770221857e-08
2.263394952881713e-06,-5.487410081883581e-08
2.293889641518251e-06,-5.487409748816674e-08
2.315873298097405e-06,-5.48740958228322e-08
2.338446225987066e-06,-5.487409437954227e-08
2.355441445173634e-06,-5.487409382443076e-08
2.3678162173108e-06,-5.487409360238615e-08
2.377814454474822e-06,-5.487409271420773e-08
2.386461504704381e-06,-5.487409260318543e-08
2.394243973366501e-06,-5.487409215909622e-08
2.401441981455768e-06,-5.487409271420773e-08
2.408225158276545e-06,-5.487409271420773e-08
2.410973094388089e-06,-5.487409404647536e-08
2.413987665495418e-06,-5.487409360238615e-08
2.415253777538647e-06,-5.487409449056457e-08
2.416532428734015e-06,-5.487409482363148e-08
2.417767006522198e-06,-5.487409493465378e-08
2.418458575865716e-06,-5.487409593385451e-08
2.41914823348977e-06,-5.487409704407753e-08
2.419694485833845e-06,-5.487409682203293e-08
2.420082828162092e-06,-5.487409771021134e-08
2.420386608803437e-06,-5.487409715509983e-08
2.420640623638384e-06,-5.487409793225595e-08
2.420869167526847e-06,-5.487409882043437e-08
2.421080180989505e-06,-5.487409859838976e-08
2.421278134483732e-06,-5.487409848736746e-08
2.421466056995129e-06,-5.487409771021134e-08
2.421646230547792e-06,-5.487409793225595e-08
2.421820523170958e-06,-5.487409870941207e-08
2.421990419659396e-06,-5.48741002637243e-08
2.422157084990843e-06,-5.487410137394733e-08
2.422321426185671e-06,-5.487410148496963e-08
2.422484123199783e-06,-5.487410181803654e-08
2.422645639706757e-06,-5.487410226212575e-08
2.422806222949635e-06,-5.487410226212575e-08
2.422965901131557e-06,-5.487410237314805e-08
2.423124486103458e-06,-5.487410237314805e-08
2.423281587540432e-06,-5.487410226212575e-08
2.423436642338054e-06,-5.487410281723726e-08
2.423588828869e-06,-5.487410270621496e-08
2.42373764861734e-06,-5.487410104088042e-08
2.423882195040387e-06,-5.487410126292502e-08
2.424021672042999e-06,-5.487410181803654e-08
2.424155415135276e-06,-5.487410248417035e-08
2.424282869077488e-06,-5.487410281723726e-08
2.424403647275717e-06,-5.487410370541568e-08
2.424517593204481e-06,-5.487410237314805e-08
2.424624838527853e-06,-5.487410215110344e-08
2.424725839201793e-06,-5.487410237314805e-08
2.424821400773168e-06,-5.487410226212575e-08
2.424912820350452e-06,-5.487410259519265e-08
2.425002361344807e-06,-5.487410326132647e-08
2.425094608924618e-06,-5.487410237314805e-08
2.425200844455198e-06,-5.487410148496963e-08
2.425385485714409e-06,-5.487410181803654e-08
2.425528371752774e-06,-5.487410181803654e-08
2.425652024423301e-06,-5.487410104088042e-08
2.425781920104065e-06,-5.487410126292502e-08
2.425916739656734e-06,-5.48741002637243e-08
2.426058695932968e-06,-5.487410159599193e-08
2.42618847654406e-06,-5.487410292825956e-08
2.426291756496607e-06,-5.487410303928186e-08
2.426373447206618e-06,-5.487410204008114e-08
2.426414920716687e-06,-5.487410159599193e-08
2.426453043893123e-06,-5.487410204008114e-08
