(v("/Vout+" ?result "tran") - v("/Vout-" ?result "tran")) X,(v("/Vout+" ?result "tran") - v("/Vout-" ?result "tran")) Y
0,-5.485934340132559e-08
2e-06,-5.473412234557884e-08
2.001078884374198e-06,-5.473405584321966e-08
2.001878891877638e-06,-5.473400455091593e-08
2.00347890688452e-06,-5.473390640720055e-08
2.005363639512052e-06,-5.473379283138513e-08
2.009133104767117e-06,-5.473357334029316e-08
2.016672035277247e-06,-5.473316089243951e-08
2.031749896297506e-06,-5.473243058773392e-08
2.061905618338025e-06,-5.473127839827896e-08
2.122217062419063e-06,-5.472980901810587e-08
2.146391747908631e-06,-5.472946607021356e-08
2.185360352813133e-06,-5.472908382042618e-08
2.199017822003997e-06,-5.472899167191514e-08
2.213104862440304e-06,-5.472891162483506e-08
2.226307811949384e-06,-5.472884601065431e-08
2.236587086523688e-06,-5.472880426626858e-08
2.245245128812931e-06,-5.472877173673396e-08
2.253170513466578e-06,-5.47287463126267e-08
2.260705069014756e-06,-5.472872188772016e-08
2.268035972008307e-06,-5.47287013485942e-08
2.27531306726008e-06,-5.472868125355745e-08
2.282667731064378e-06,-5.472866326794446e-08
2.290221167092848e-06,-5.47286470586883e-08
2.298092361918622e-06,-5.472862973920911e-08
2.306400564801418e-06,-5.472861219768532e-08
2.315257418346729e-06,-5.472859632149607e-08
2.324741995902185e-06,-5.472858333188668e-08
2.334852900141055e-06,-5.472856889898736e-08
2.345452676155962e-06,-5.472855502119955e-08
2.356263379309278e-06,-5.47285436969247e-08
2.366961322066018e-06,-5.472853370491748e-08
2.37730095718352e-06,-5.472852482313328e-08
2.387155705902374e-06,-5.472851716259441e-08
2.396478777838659e-06,-5.472851016818936e-08
2.405253773725648e-06,-5.472850461707424e-08
2.413468949983975e-06,-5.472849973209293e-08
2.421110515177066e-06,-5.472849773369148e-08
2.428163571975527e-06,-5.472849429200011e-08
2.434614806875119e-06,-5.472849184950945e-08
2.44045509517052e-06,-5.472848796372887e-08
2.44568161124871e-06,-5.472848574328282e-08
2.450299444113238e-06,-5.472848407794828e-08
2.454322871773656e-06,-5.472848274568065e-08
2.457776501669222e-06,-5.472848185750223e-08
2.460696443009117e-06,-5.472848252363605e-08
2.463128148538249e-06,-5.472848219056914e-08
2.465142167864897e-06,-5.472848130239072e-08
2.466803502934166e-06,-5.472847997012309e-08
2.46819204174027e-06,-5.472847897092237e-08
2.468892998143971e-06,-5.472847952603388e-08
2.469568602419047e-06,-5.472848008114539e-08
2.470149126640327e-06,-5.472848119136842e-08
2.470626256179841e-06,-5.472847908194467e-08
2.471043357355049e-06,-5.472847919296697e-08
2.471423913930667e-06,-5.472847941501158e-08
2.471780501410261e-06,-5.472848085830151e-08
2.472121320640889e-06,-5.47284804142123e-08
