Transistor,Width,Length,Aspect 
M1,3.00E-07,8.00E-06,3.75E-02
M2,7.50E-07,1.00E-06,7.50E-01
M3,7.50E-07,1.00E-06,7.50E-01
M4a,2.81E-07,1.00E-05,2.81E-02
M4b,2.81E-07,1.00E-05,2.81E-02
M4c,2.81E-07,1.00E-05,2.81E-02
M5a,2.81E-07,1.00E-05,2.81E-02
M5b,2.81E-07,1.00E-05,2.81E-02
M5c,2.81E-07,1.00E-05,2.81E-02
M6,2.50E-07,1.33E-06,1.88E-01
M7,2.50E-07,1.33E-06,1.88E-01
M8,7.50E-07,1.00E-06,7.50E-01
M9,7.50E-07,1.00E-06,7.50E-01
M10a,2.81E-07,7.50E-06,3.75E-02
M10b,2.81E-07,7.50E-06,3.75E-02
M11a,2.81E-07,7.50E-06,3.75E-02
M11b,2.81E-07,7.50E-06,3.75E-02
M12,5.00E-07,1.00E-06,5.00E-01
M13,5.00E-07,1.00E-06,5.00E-01
M14,3.00E-07,4.00E-06,7.50E-02
M15,3.00E-07,4.00E-06,7.50E-02
M16,2.50E-07,4.00E-06,6.25E-02
M17,2.50E-07,4.00E-06,6.25E-02
M18a,2.50E-07,6.80E-06,3.68E-02
M18b,2.50E-07,6.80E-06,3.68E-02
M19a,2.50E-07,6.80E-06,3.68E-02
M19b,2.50E-07,6.80E-06,3.68E-02
M20a,2.81E-07,1.00E-05,2.81E-02
M20b,2.81E-07,1.00E-05,2.81E-02
M20c,2.81E-07,1.00E-05,2.81E-02
M21,7.50E-07,1.00E-06,7.50E-01
M22a,3.00E-07,8.00E-06,3.75E-02
M22b,3.00E-07,8.00E-06,3.75E-02
M23,3.00E-07,8.00E-06,3.75E-02
M24,1.50E-06,1.00E-06,1.50E+00
M25a,2.50E-07,1.00E-05,2.50E-02
M25b,2.50E-07,1.05E-05,2.38E-02
M25c,2.50E-07,1.05E-05,2.38E-02
M25d,2.50E-07,1.05E-05,2.38E-02
M25e,2.50E-07,1.05E-05,2.38E-02
M25f,2.50E-07,1.05E-05,2.38E-02
M26,7.50E-07,1.00E-06,7.50E-01
M27a,3.00E-07,8.00E-06,3.75E-02
M27b,3.00E-07,8.00E-06,3.75E-02
M28,2.50E-07,1.33E-06,1.88E-01
M29a,2.81E-07,1.00E-05,2.81E-02
M29b,2.81E-07,1.00E-05,2.81E-02
M29c,2.81E-07,1.00E-05,2.81E-02
M29d,2.81E-07,1.00E-05,2.81E-02
M29e,2.81E-07,1.00E-05,2.81E-02
M29f,2.81E-07,1.00E-05,2.81E-02
M30,7.50E-07,1.00E-06,7.50E-01
M31a,3.00E-07,8.00E-06,3.75E-02
M31b,3.00E-07,8.00E-06,3.75E-02
M32a,2.50E-07,7.50E-06,3.33E-02
M32b,2.50E-07,7.50E-06,3.33E-02
M33a,2.81E-07,1.00E-05,2.81E-02
M33b,2.81E-07,1.00E-05,2.81E-02
M33c,2.81E-07,1.00E-05,2.81E-02
M33d,2.81E-07,1.00E-05,2.81E-02
M33e,2.81E-07,1.00E-05,2.81E-02
M33f,2.81E-07,1.00E-05,2.81E-02
M34a,2.50E-07,7.33E-06,3.41E-02
M34b,2.50E-07,7.33E-06,3.41E-02
M34c,2.50E-07,7.33E-06,3.41E-02
M35a,2.50E-07,7.50E-06,3.33E-02
M35b,2.50E-07,7.50E-06,3.33E-02
M36a,2.81E-07,1.00E-05,2.81E-02
M36b,2.81E-07,1.00E-05,2.81E-02
M36c,2.81E-07,1.00E-05,2.81E-02
M36d,2.81E-07,1.00E-05,2.81E-02
M36e,2.81E-07,1.00E-05,2.81E-02
M36f,2.81E-07,1.00E-05,2.81E-02
M37,3.00E-07,4.00E-06,7.50E-02
M38,2.81E-07,3.75E-06,7.49E-02
M39a,2.81E-07,7.50E-06,3.75E-02
M39b,2.81E-07,7.50E-06,3.75E-02
